county_name,county_code,state_abb,income_quartile,life_exp,pct_uninsured,poverty_rate,pct_religious,pct_black,pct_hispanic,unemployment_rate,median_hh_inc,is_urban,pop,pop_density,pct_smoke,pct_obese,pct_exercise
Autauga,1001,AL,1,76.3599527209818,0.1360128,0.1092284,0.5611275,0.17009,0.01396808,0.0373794,34.37954,1,43671,73.27741,0.3333333,0.375,0.5
Autauga,1001,AL,4,84.214984813193,0.1360128,0.1092284,0.5611275,0.17009,0.01396808,0.0373794,34.37954,1,43671,73.27741,0.1333333,0.1333333,0.80000001
Baldwin,1003,AL,1,79.5353542193295,0.1908533,0.1014709,0.4724282,0.1022469,0.01756222,0.0391124,39.2196,1,140415,87.96024,0.2680965,0.2980501,0.59943181
Baldwin,1003,AL,4,86.2699212418243,0.1908533,0.1014709,0.4724282,0.1022469,0.01756222,0.0391124,39.2196,1,140415,87.96024,0.1769911,0.1357466,0.83796299
Barbour,1005,AL,1,79.7325157993197,0.1851381,0.267998,0.4117019,0.4603967,0.01646119,0.0681317,24.2742,0,29038,32.81488,0.2285714,0.2941177,0.54285717
Barbour,1005,AL,4,86.6526248821866,0.1851381,0.267998,0.4117019,0.4603967,0.01646119,0.0681317,24.2742,0,29038,32.81488,0.1111111,0.2777778,0.72222221
Blount,1009,AL,1,78.5776982924932,0.1928041,0.1174281,0.5079178,0.01171997,0.05326905,0.0328471,30.22986,1,51024,79.03526,0.3043478,0.3478261,0.56521738
Blount,1009,AL,4,86.2570051917611,0.1928041,0.1174281,0.5079178,0.01171997,0.05326905,0.0328471,30.22986,1,51024,79.03526,0.1666667,0.2352941,0.72222221
Calhoun,1015,AL,1,76.4921739091714,0.1607464,0.1611126,0.6429367,0.1846342,0.01561707,0.0501403,31.73922,1,112249,184.48,0.2941177,0.25,0.54430377
Calhoun,1015,AL,4,84.8984633915614,0.1607464,0.1611126,0.6429367,0.1846342,0.01561707,0.0501403,31.73922,1,112249,184.48,0.1824818,0.3358209,0.81060606
Chambers,1017,AL,1,77.4145043260647,0.1882137,0.1703605,0.5424104,0.3791925,0.007653828,0.0494312,28.87158,1,36583,61.26085,0.2368421,0.4444444,0.66666669
Chambers,1017,AL,4,84.6911802490542,0.1882137,0.1703605,0.5424104,0.3791925,0.007653828,0.0494312,28.87158,1,36583,61.26085,0.375,0.5,0.75
Chilton,1021,AL,1,78.7708478992301,0.1999786,0.1570229,0.6271058,0.1043366,0.02909605,0.0436641,28.44861,1,39593,57.05218,0.1851852,0.36,0.48148149
Chilton,1021,AL,4,85.7248527917729,0.1999786,0.1570229,0.6271058,0.1043366,0.02909605,0.0436641,28.44861,1,39593,57.05218,0.2222222,0.5555556,0.77777779
Clarke,1025,AL,1,79.7138875613079,0.1663706,0.2258816,0.5746223,0.4276743,0.006459253,0.0893002,28.07351,1,27867,22.50287,0.0666667,0.4333333,0.5
Clarke,1025,AL,4,83.9628027264278,0.1663706,0.2258816,0.5746223,0.4276743,0.006459253,0.0893002,28.07351,1,27867,22.50287,0,0.2727273,0.84615386
Coffee,1031,AL,1,77.85330679547,0.1811449,0.1469591,0.6958385,0.1822767,0.02712369,0.0564018,33.96036,1,43615,64.23512,0.1960784,0.3695652,0.60784316
Coffee,1031,AL,4,85.1975369532693,0.1811449,0.1469591,0.6958385,0.1822767,0.02712369,0.0564018,33.96036,1,43615,64.23512,0.1714286,0.2647059,0.77142859
Colbert,1033,AL,1,78.5763810644388,0.1465307,0.1395999,0.6682671,0.16543,0.01123963,0.0625484,33.1452,1,54984,92.48277,0.3548387,0.4098361,0.5
Colbert,1033,AL,4,84.7698984260731,0.1465307,0.1395999,0.6682671,0.16543,0.01123963,0.0625484,33.1452,1,54984,92.48277,0.1904762,0.2857143,0.90476191
Covington,1039,AL,1,79.3207104189349,0.1753984,0.1844967,0.6992905,0.122718,0.00775956,0.0576527,29.83967,0,37631,36.40009,0.3255814,0.3902439,0.62790698
Covington,1039,AL,4,86.5069080578974,0.1753984,0.1844967,0.6992905,0.122718,0.00775956,0.0576527,29.83967,0,37631,36.40009,0,0.2142857,0.53333336
Cullman,1043,AL,1,78.5469017162934,0.1892017,0.1299916,0.7115883,0.009369797,0.02178542,0.042035,31.52885,1,77483,104.9297,0.2056075,0.2307692,0.63551402
Cullman,1043,AL,4,86.6532550677931,0.1892017,0.1299916,0.7115883,0.009369797,0.02178542,0.042035,31.52885,1,77483,104.9297,0.255814,0.2926829,0.72093022
Dale,1045,AL,1,77.8938637250808,0.1487033,0.1509354,0.4862098,0.201551,0.03342222,0.0505812,28.49476,1,49129,87.56243,0.2272727,0.3571429,0.63636363
Dale,1045,AL,4,85.4777535672834,0.1487033,0.1509354,0.4862098,0.201551,0.03342222,0.0505812,28.49476,1,49129,87.56243,0.2083333,0.3913043,0.875
Dallas,1047,AL,1,77.401844482351,0.1606074,0.3105486,0.4360833,0.629807,0.006254718,0.0840064,26.79892,1,46365,47.27685,0.2896552,0.5248227,0.55479455
Dallas,1047,AL,4,84.9812773077996,0.1606074,0.3105486,0.4360833,0.629807,0.006254718,0.0840064,26.79892,1,46365,47.27685,0.0416667,0.2608696,0.83333331
DeKalb,1049,AL,1,78.9725177064481,0.234593,0.1539102,0.5997952,0.01650841,0.05551418,0.0437882,29.35054,1,64452,82.85249,0.19,0.3030303,0.56999999
DeKalb,1049,AL,4,85.5231506390643,0.234593,0.1539102,0.5997952,0.01650841,0.05551418,0.0437882,29.35054,1,64452,82.85249,0.125,0.3043478,0.83333331
Elmore,1051,AL,1,78.0751724105834,0.1429589,0.1024389,0.4651911,0.2050126,0.0122203,0.0386334,31.15606,1,65874,106.0336,0.3913043,0.3134328,0.48571429
Elmore,1051,AL,4,85.0605363100287,0.1429589,0.1024389,0.4651911,0.2050126,0.0122203,0.0386334,31.15606,1,65874,106.0336,0.1724138,0.1272727,0.75862068
Escambia,1053,AL,1,77.7849628389628,0.1947329,0.2086959,0.5305931,0.3069459,0.009859521,0.055974,26.02419,0,38440,40.57494,0.2777778,0.4411765,0.5
Escambia,1053,AL,4,82.693329159954,0.1947329,0.2086959,0.5305931,0.3069459,0.009859521,0.055974,26.02419,0,38440,40.57494,0.2142857,0.1538462,0.71428573
Etowah,1055,AL,1,77.3694333381678,0.1833494,0.1569798,0.6831209,0.1461448,0.01704057,0.0600306,31.5767,1,103459,193.4455,0.3357143,0.2846715,0.5244565
Etowah,1055,AL,4,85.5082370900592,0.1833494,0.1569798,0.6831209,0.1461448,0.01704057,0.0600306,31.5767,1,103459,193.4455,0.1445783,0.2278481,0.81481481
Franklin,1059,AL,1,77.7784390732739,0.2320653,0.1888521,0.6459341,0.04186017,0.07417609,0.0695541,27.61174,1,31223,49.1202,0.3142857,0.2857143,0.45714286
Franklin,1059,AL,4,85.0368883761056,0.2320653,0.1888521,0.6459341,0.04186017,0.07417609,0.0695541,27.61174,1,31223,49.1202,0,0.4,0.83333331
Geneva,1061,AL,1,79.67515576213,0.1972452,0.1961859,0.6576231,0.1057677,0.01758267,0.0583924,27.74829,1,25764,44.7074,0.2727273,0.483871,0.38235295
Geneva,1061,AL,4,83.1697969897861,0.1972452,0.1961859,0.6576231,0.1057677,0.01758267,0.0583924,27.74829,1,25764,44.7074,0,0.5555556,0.66666669
Houston,1069,AL,1,78.8486711432378,0.1668623,0.1499897,0.6782412,0.2444389,0.01263698,0.0390972,35.26285,1,88787,152.9861,0.2830189,0.3653846,0.55445546
Houston,1069,AL,4,84.9013377886129,0.1668623,0.1499897,0.6782412,0.2444389,0.01263698,0.0390972,35.26285,1,88787,152.9861,0.0625,0.2795699,0.78021979
Jackson,1071,AL,1,78.295466675867,0.1864322,0.1367446,0.4758187,0.03712495,0.0113118,0.0595902,29.4989,1,53926,49.98964,0.4,0.3846154,0.5
Jackson,1071,AL,4,84.5486122607587,0.1864322,0.1367446,0.4758187,0.03712495,0.0113118,0.0595902,29.4989,1,53926,49.98964,0.25,0.2857143,0.875
Jefferson,1073,AL,1,77.3665451210264,0.1614558,0.1477299,0.601273,0.3921519,0.01553364,0.0394048,38.58414,1,662047,595.0411,0.2739872,0.3191257,0.56505805
Jefferson,1073,AL,4,85.8748249530443,0.1614558,0.1477299,0.601273,0.3921519,0.01553364,0.0394048,38.58414,1,662047,595.0411,0.1327751,0.1863581,0.85567009
Lauderdale,1077,AL,1,78.2653978416975,0.1523257,0.1442567,0.5663325,0.09803787,0.01016302,0.0597039,34.22301,1,87966,131.3983,0.282353,0.264,0.58064514
Lauderdale,1077,AL,4,85.4406838125339,0.1523257,0.1442567,0.5663325,0.09803787,0.01016302,0.0597039,34.22301,1,87966,131.3983,0.1084337,0.2098765,0.83783782
