date,time,country,housing,mortgage_rate,cpi,industry,unemp,recession
1990-01-01,1,US,1551,9.9,127.5,61.729,5.4,0
1990-02-01,2,US,1437,10.2,128,62.2896,5.3,0
1990-03-01,3,US,1289,10.27,128.6,62.5999,5.2,0
1990-04-01,4,US,1248,10.37,128.9,62.4359,5.4,0
1990-05-01,5,US,1212,10.48,129.1,62.6258,5.4,0
1990-06-01,6,US,1177,10.16,129.9,62.8382,5.2,0
1990-07-01,7,US,1171,10.04,130.5,62.7284,5.5,0
1990-08-01,8,US,1115,10.1,131.6,62.9475,5.7,1
1990-09-01,9,US,1110,10.18,132.5,62.9523,5.9,1
1990-10-01,10,US,1014,10.18,133.4,62.5845,5.9,1
1990-11-01,11,US,1145,10.01,133.7,61.7887,6.2,1
1990-12-01,12,US,969,9.67,134.2,61.3352,6.3,1
1991-01-01,13,US,798,9.64,134.7,61.1355,6.4,1
1991-02-01,14,US,965,9.37,134.8,60.6838,6.6,1
1991-03-01,15,US,921,9.5,134.8,60.3346,6.8,1
1991-04-01,16,US,1001,9.49,135.1,60.4938,6.7,0
1991-05-01,17,US,996,9.47,135.6,61.0633,6.9,0
1991-06-01,18,US,1036,9.62,136,61.5581,6.9,0
1991-07-01,19,US,1063,9.58,136.2,61.7305,6.8,0
1991-08-01,20,US,1049,9.24,136.6,61.7298,6.9,0
1991-09-01,21,US,1015,9.01,137,62.2195,6.9,0
1991-10-01,22,US,1079,8.86,137.2,62.1855,7,0
1991-11-01,23,US,1103,8.71,137.8,62.0871,7,0
1991-12-01,24,US,1079,8.5,138.2,61.7852,7.3,0
1992-01-01,25,US,1176,8.43,138.3,61.4616,7.3,0
1992-02-01,26,US,1250,8.76,138.6,61.8955,7.4,0
1992-03-01,27,US,1297,8.94,139.1,62.4232,7.4,0
1992-04-01,28,US,1099,8.85,139.4,62.897,7.4,0
1992-05-01,29,US,1214,8.67,139.7,63.104,7.6,0
1992-06-01,30,US,1145,8.51,140.1,63.1363,7.8,0
1992-07-01,31,US,1139,8.13,140.5,63.7176,7.7,0
1992-08-01,32,US,1226,7.98,140.8,63.3613,7.6,0
1992-09-01,33,US,1186,7.92,141.1,63.5703,7.6,0
1992-10-01,34,US,1244,8.09,141.7,63.9995,7.3,0
1992-11-01,35,US,1214,8.31,142.1,64.2422,7.4,0
1992-12-01,36,US,1227,8.21,142.3,64.3507,7.4,0
1993-01-01,37,US,1210,7.99,142.8,64.5978,7.3,0
1993-02-01,38,US,1210,7.68,143.1,64.9089,7.1,0
1993-03-01,39,US,1083,7.5,143.3,64.8522,7,0
1993-04-01,40,US,1258,7.47,143.8,65.0301,7.1,0
1993-05-01,41,US,1260,7.47,144.2,64.784,7.1,0
1993-06-01,42,US,1280,7.42,144.3,64.9301,7,0
1993-07-01,43,US,1254,7.21,144.5,65.1052,6.9,0
1993-08-01,44,US,1300,7.11,144.8,65.0267,6.8,0
1993-09-01,45,US,1343,6.92,145,65.3717,6.7,0
1993-10-01,46,US,1392,6.83,145.6,65.8509,6.8,0
1993-11-01,47,US,1376,7.16,146,66.1518,6.6,0
1993-12-01,48,US,1533,7.17,146.3,66.5436,6.5,0
1994-01-01,49,US,1272,7.06,146.3,66.7351,6.6,0
